Max,Min  ,STD,Kurtosis,Skewness,Class
2.646564153,1.023712095,0.124273339,25.08620829,-2.576680994,0
2.661763729,1.055498274,0.141664265,15.38513643,-2.036760041,0
2.670362186,1.146704641,0.15335717,9.621828462,-1.378277617,0
2.980436475,1.200534891,0.140031231,17.08692559,-2.051851904,0
2.704545382,0.999166598,0.150118444,23.15423584,-2.809963711,0
2.663249151,1.180939308,0.138959609,13.47695249,-1.841258774,0
2.684602631,1.126567696,0.127437225,11.63235085,-1.522686489,0
2.663846916,1.017658124,0.139815089,17.82659581,-2.27354218,0
2.65728521,1.005172684,0.152022302,10.06921562,-1.445852225,0
2.656168796,1.056240498,0.148802227,18.8857561,-2.357622396,0
2.668314803,1.08486278,0.144956781,15.86838346,-2.092445823,0
2.814884762,1.105847262,0.135271944,28.79004617,-3.042735493,0
2.927280256,1.102405742,0.172281411,24.6326832,-3.059635497,0
2.915048671,1.36865867,0.14053439,8.326584685,-1.277905594,0
2.909661152,1.23128944,0.143526968,10.09973548,-1.388416292,0
2.883794123,1.154729837,0.139924254,20.13695715,-2.338558361,0
2.889994766,1.089748049,0.148120565,22.7443605,-2.714512212,0
2.922083876,2.024670853,0.149420899,3.483001592,-0.74044308,0
2.941749015,1.030792446,0.17517647,16.13564806,-2.140966459,0
2.895022724,1.13628977,0.160408239,20.41290852,-2.496699696,0
2.951181286,1.234410366,0.151148566,16.84658315,-2.156086065,0
2.921151319,1.176316577,0.145474841,22.76124598,-2.705729751,0
2.918453214,2.005230538,0.13027622,4.412665973,-1.015970354,0
2.944919044,1.170746026,0.160101633,11.11230719,-1.511822093,0
2.928215158,1.213523763,0.170926558,13.52785189,-1.88315475,0
3.323907645,0.88249274,0.315912541,3.747532898,0.039892568,1
3.392921921,0.843304193,0.396218881,3.081443448,-0.449595889,1
2.197163268,0.784221694,0.218333523,2.761967118,0.553784849,1
2.136261293,0.601519038,0.217451431,3.383042462,0.080238073,1
2.080110771,0.570679578,0.208503353,4.023912678,0.394936142,1
2.087350922,0.597100878,0.212813322,3.240376391,0.880922439,1
2.24920759,0.798424672,0.281295564,1.925726469,-0.059435694,1
2.895791866,0.393396305,0.534554635,3.749409621,1.43073914,1
1.919463308,0.371562609,0.235698292,9.115018332,2.511253292,1
2.43645934,0.448117504,0.391792855,2.667550327,0.88168972,1
2.307158013,0.821177932,0.364378776,1.714247463,-0.115561946,1
2.485160015,0.598112111,0.272214555,4.733377981,0.711395545,1
3.554925474,1.196680042,0.327548796,3.258045035,-0.013165367,1
2.500488459,0.929154234,0.374469826,1.820839252,0.281474341,1
3.080507813,0.573995339,0.463434654,4.32918887,1.496250579,1
2.696381421,0.650055335,0.384611071,2.164193672,0.229773911,1
2.467225549,0.569925661,0.360196834,2.860583333,0.900077126,1
2.343019572,0.512020581,0.257714924,4.33578639,0.699530035,1
3.582738683,1.174662269,0.251660454,5.620073755,-0.309353502,1
3.198054792,1.033589404,0.254912747,4.590502505,-0.240191652,1
3.240927822,1.00206268,0.224311321,9.067713005,-1.310130505,1
3.162193111,1.424086906,0.231757483,3.669310871,-0.606329223,1
3.206852608,1.229494709,0.223609548,7.088755886,-1.097964244,1
3.462483436,0.876239055,0.411983134,2.82255639,0.662038496,1
3.22316038,1.096204509,0.209079777,6.533029407,-0.463907523,1
3.283507249,1.266292868,0.225277826,6.615393022,-0.899499823,1
3.24413596,1.174479858,0.203435003,12.96527633,-1.696054374,1
3.364492408,1.372170093,0.230374072,3.969830699,-0.578217438,1
3.330340922,1.261908204,0.19573464,7.40970531,-0.217897384,1
3.267885274,1.197668608,0.376587851,2.485024477,-0.511795128,1
3.506641938,0.940903913,0.460443738,2.038695386,-0.413823323,1
3.465848025,1.413391196,0.422716054,1.705479974,-0.007843159,1
3.391209602,1.132808192,0.336608261,2.311107463,-0.449675521,1
3.568895539,1.03382737,0.428409325,2.038648249,-0.201509324,1
3.375729852,0.942122334,0.373519043,2.696986997,-0.300059032,1
3.520881642,1.415771477,0.448843448,1.835148039,-0.266216837,1
3.527679459,1.153510377,0.402043058,2.291776053,-0.011094177,1
3.386545274,1.075006279,0.413216946,1.981446978,-0.420681436,1
3.41691483,1.01725273,0.365914715,2.717216449,-0.317823219,1
3.469516224,1.022990611,0.416223825,2.026664861,-0.161744209,1
3.592934879,1.086979868,0.3155711,3.420749262,0.318242249,1
3.445265998,1.086320701,0.332582044,3.517264155,0.538149199,1
3.497689455,1.091972734,0.314939515,4.0363714,-0.497222841,1
3.466866337,1.11559901,0.399805049,2.480720366,-0.515351401,1
3.346958984,1.009845603,0.32142706,3.074330229,-0.049319496,1
3.535382841,0.825564517,0.39573999,3.616464689,0.758079581,1
3.371327158,0.889506149,0.308906789,3.717609547,0.103698157,1
2.838767379,0.50750118,0.432175186,2.432939951,-0.366478647,1
2.496067176,0.863866953,0.45949009,1.650615304,-0.380850455,1
2.331274081,0.835967091,0.339334346,2.449380123,-0.750256977,1
2.333815571,0.807658746,0.274686066,3.173196996,-0.847534661,1
2.698876834,0.735877479,0.405929093,2.110602838,-0.397837572,1
3.678360464,0.939571056,0.379968024,3.289970801,0.210558156,1
2.530617068,0.933787041,0.376044641,2.109888996,-0.513506766,1
2.655810862,0.604359306,0.4615818,1.712829071,-0.328321621,1
2.792172977,0.719641017,0.522956347,1.782197723,-0.329774739,1
2.981357243,1.089046103,0.502593642,1.689295006,-0.252265529,1
2.906354822,0.833386402,0.539221808,1.623985657,-0.172255113,1
2.616860706,0.636348046,0.402369782,1.810013799,-0.119180888,1
2.879125297,0.751020121,0.466519245,1.768598664,0.266809856,1
2.886915056,0.686045453,0.448959456,1.95962501,-0.512564576,1
3.022717936,1.210055407,0.501836016,1.79920751,0.323751343,1
3.007466026,1.280713185,0.487324871,1.595115905,0.176877865,1
3.446914392,1.526640705,0.350154283,2.770109774,-0.283829001,1
3.194715702,0.598911999,0.579909701,3.476430347,-1.015769635,1
2.887093862,0.653896326,0.420706147,5.359627585,-1.194987873,1
3.095484329,0.530058002,0.539321656,2.874984581,-0.42848369,1
